phone,minTime,maxTime
k,24.919,24.979
k,39.434,39.614
k,128.984,129.084
k,180.639,180.679
k,181.259,181.419
k,188.395,188.465
k,194.109,194.169
k,196.948,197.008
k,197.398,197.488
k,198.648,198.808
k,200.0,200.06
k,201.321,201.381
k,202.091,202.141
k,204.8,204.86
k,206.57,206.74
k,213.073,213.223
k,225.693,225.753
k,231.869,231.939
k,282.003,282.083
k,289.231,289.371
k,316.274,316.384
k,317.643,317.753
k,318.723,318.783
k,322.323,322.383
k,324.712,324.772
k,325.619,325.689
k,325.939,326.049
k,337.364,337.434
k,338.814,338.874
k,340.214,340.274
k,363.823,363.893
k,366.361,366.411
k,366.831,366.911
k,368.711,368.781
k,369.171,369.241
k,370.475,370.545
k,372.005,372.075
k,374.395,374.495
k,391.035,391.075
k,391.525,391.605
k,397.097,397.167
k,397.897,397.987
k,399.693,399.723
k,399.793,399.823
k,405.56,405.63
k,410.857,410.897
k,413.866,413.936
k,416.066,416.096
k,416.176,416.206
k,427.156,427.236
k,429.923,429.983
k,431.873,431.963
k,459.2,459.23
k,459.23,459.33
k,462.619,462.689
k,506.044,506.094
k,514.755,514.925
k,515.265,515.345
k,515.735,515.765
k,531.181,531.231
k,542.521,542.601
k,544.551,544.671
k,546.583,546.623
k,547.363,547.483
k,550.4,550.43
k,550.53,550.68
k,551.59,551.66
k,570.313,570.353
k,596.116,596.256
k,602.848,602.898
k,612.63,612.66
k,616.246,616.286
k,624.41,624.46
k,628.307,628.347
k,632.711,632.771
k,646.101,646.151
k,653.698,654.108
k,654.538,654.578
k,690.2,690.26
k,717.271,717.311
k,720.502,720.562
k,720.742,720.832
k,727.505,727.555
k,727.775,727.845
k,728.695,728.745
k,728.915,729.075
k,732.87,732.9
k,732.98,733.02
k,740.799,740.839
k,766.56,766.6
k,766.77,766.83
k,768.641,768.711
k,770.391,770.441
k,770.561,770.601
k,791.269,791.329
k,799.713,799.743
k,799.803,799.833
k,831.192,831.232
k,831.362,831.402
k,841.614,841.644
k,860.327,860.367
k,873.484,873.514
k,873.644,873.754
k,902.995,903.025
k,930.753,930.903
k,946.275,946.335
k,948.025,948.085
k,954.5,954.55
k,955.11,955.15
k,956.269,956.339
k,958.039,958.099
k,964.554,964.614
k,972.347,972.637
k,974.237,974.267
k,974.327,974.407
k,976.183,976.253
k,979.231,979.301
k,988.584,988.634
k,1009.965,1010.055
k,1017.388,1017.428
k,1025.111,1025.141
k,1026.811,1026.871
k,1049.421,1049.501
k,1051.321,1051.391
k,1055.363,1055.433
k,1057.608,1057.668
k,1060.136,1060.206
k,1063.969,1064.049
k,1075.081,1075.131
k,1083.184,1083.244
k,1086.912,1086.972
k,1089.47,1089.56
k,1090.92,1090.99
k,1094.401,1094.441
k,1125.287,1125.337
k,1125.497,1125.567
k,1127.517,1127.557
k,1127.557,1127.637
k,1155.68,1155.71
k,1185.217,1185.277
k,1188.691,1188.731
k,1188.731,1188.761
k,1189.471,1189.541
k,1219.818,1219.898
k,1223.454,1223.494
k,1224.324,1224.354
k,1224.484,1224.584
k,1252.826,1252.896
k,1271.938,1271.998
k,1276.706,1276.846
k,1308.963,1309.173
k,1329.806,1329.836
k,1329.836,1329.916
k,1332.54,1332.57
k,1332.69,1332.72
k,1371.993,1372.043
k,1376.834,1376.874
k,1391.187,1391.237
k,1391.237,1391.347
k,1400.662,1400.732
k,1404.382,1404.412
k,1411.132,1411.212
k,1413.262,1413.322
k,1429.641,1429.671
k,1429.671,1429.741
k,1431.241,1431.301
k,1441.97,1442.01
k,1443.23,1443.27
k,1453.827,1453.897
k,1479.777,1479.857
k,1480.017,1480.097
k,1482.997,1483.047
k,1483.197,1483.337
k,1501.371,1501.461
k,1505.11,1505.22
k,1522.534,1522.664
k,1522.864,1522.914
