phone,minTime,maxTime,k total,kw total,g total,gw total
g,27.805,27.845,,,,
g,29.155,29.235,,,,
g,46.194,46.264,,,,
k,75.614,75.684,,,,
g,75.974,76.094,,,,
g,76.514,76.644,,,,
g,78.592,78.622,,,,
g,84.962,85.042,,,,
g,87.152,87.192,,,,
k,93.606,93.686,,,,
g,94.076,94.166,,,,
k,96.861,96.901,,,,
g,97.061,97.121,,,,
k,108.016,108.076,,,,
g,109.626,109.666,,,,
g,116.214,116.304,,,,
g,116.394,116.504,,,,
k,117.074,117.114,,,,
g,117.294,117.384,,,,
g,129.02,129.12,,,,
k,129.84,129.9,,,,
g,130.04,130.23,,,,
g,134.606,134.666,,,,
g,134.766,134.826,,,,
g,161.02,161.11,,,,
g,188.202,188.292,,,,
g,188.642,188.702,,,,
g,230.468,230.528,,,,
k,239.516,239.566,,,,
k,246.326,246.366,,,,
g,265.844,265.944,,,,
g,295.402,295.462,,,,
g,317.214,317.364,,,,
k,319.17,319.25,,,,
k,320.5,320.54,,,,
g,321.22,321.32,,,,
g,323.331,323.421,,,,
k,328.811,328.861,,,,
g,328.971,329.051,,,,
g,333.45,333.61,,,,
g,336.3,336.4,,,,
g,337.51,337.65,,,,
g,348.864,348.934,,,,
k,351.363,351.443,,,,
g,353.993,354.093,,,,
g,376.866,376.986,,,,
gw,377.276,377.366,,,,
g,394.478,394.558,,,,
g,395.448,395.598,,,,
g,395.828,395.908,,,,
g,408.038,408.128,,,,
g,427.605,427.705,,,,
g,436.07,436.15,,,,
g,436.27,436.38,,,,
g,437.05,437.19,,,,
g,448.936,449.016,,,,
g,454.792,454.862,,,,
gw,473.155,473.315,,,,
g,477.115,477.285,,,,
g,498.736,498.826,,,,
gw,502.88,503.06,,,,
g,507.244,507.324,,,,
gw,517.414,517.564,,,,
k,526.162,526.222,,,,
g,527.652,527.722,,,,
g,533.682,533.742,,,,
g,557.393,557.433,,,,
g,558.543,558.643,,,,
g,560.757,560.857,,,,
g,561.507,561.637,,,,
g,562.547,562.597,,,,
g,577.844,577.904,,,,
g,580.44,580.51,,,,
g,583.598,583.708,,,,
g,613.89,613.98,,,,
g,630.062,630.172,,,,
g,630.762,630.872,,,,
g,645.798,645.888,,,,
g,649.298,649.368,,,,
k,656.474,656.544,,,,
g,657.274,657.344,,,,
g,676.4,676.47,,,,
k,679.087,679.137,,,,
g,680.717,680.857,,,,
g,681.587,681.657,,,,
g,681.777,681.827,,,,
k,688.332,688.392,,,,
g,692.423,692.533,,,,
g,701.079,701.139,,,,
k,702.249,702.299,,,,
g,704.577,704.607,,,,
g,704.937,705.087,,,,
g,724.748,724.858,,,,
g,727.338,727.378,,,,
k,728.603,728.633,,,,
g,732.377,732.457,,,,
g,751.178,751.228,,,,
g,754.555,754.585,,,,
g,758.198,758.258,,,,
g,780.769,780.849,,,,
k,782.668,782.718,,,,
g,783.608,783.658,,,,
g,784.668,784.718,,,,
g,791.836,791.916,,,,
k,793.016,793.056,,,,
g,793.186,793.236,,,,
g,796.053,796.113,,,,
g,796.813,796.893,,,,
k,810.225,810.255,,,,
k,813.209,813.289,,,,
k,815.565,815.645,,,,
g,818.005,818.035,,,,
g,820.033,820.073,,,,
g,821.713,821.793,,,,
k,828.476,828.646,,,,
g,832.315,832.405,,,,
k,835.339,835.369,,,,
g,838.999,839.149,,,,
g,860.575,860.605,,,,
g,864.102,864.172,,,,
g,868.939,868.999,,,,
g,870.059,870.159,,,,
g,870.269,870.369,,,,
g,874.175,874.285,,,,
gw,900.536,900.586,,,,
g,903.135,903.285,,,,
g,904.908,904.978,,,,
g,912.941,913.071,,,,
gw,919.135,919.195,,,,
g,919.865,919.975,,,,
gw,922.568,922.668,,,,
g,931.778,931.878,,,,
g,932.398,932.438,,,,
g,963.674,963.734,,,,
k,967.902,967.962,,,,
k,970.414,970.504,,,,
g,975.622,975.772,,,,
g,975.942,976.072,,,,
g,976.873,976.903,,,,
g,978.693,978.743,,,,
g,993.8,993.94,,,,
k,1000.884,1000.984,,,,
k,1001.534,1001.634,,,,
g,1003.654,1003.724,,,,
g,1004.274,1004.304,,,,
k,1004.904,1004.994,,,,
k,1015.668,1015.728,,,,
g,1016.058,1016.148,,,,
k,1041.648,1041.698,,,,
k,1074.519,1074.549,,,,
g,1080.308,1080.398,,,,
g,1082.219,1082.299,,,,
g,1089.889,1089.989,,,,
g,1090.049,1090.169,,,,
g,1097.32,1097.36,,,,
g,1113.432,1113.542,,,,
g,1115.968,1116.018,,,,
g,1121.399,1121.499,,,,
g,1156.611,1156.721,,,,
g,1162.28,1162.37,,,,
gw,1193.988,1194.088,,,,
gw,1211.276,1211.396,,,,
gw,1217.687,1217.897,,,,
g,1226.53,1226.62,,,,
gw,1228.509,1228.559,,,,
g,1228.649,1228.719,,,,
g,1232.742,1232.842,,,,
g,1250.838,1250.888,,,,
k,1272.939,1273.119,,,,
gw,1297.953,1298.033,,,,
g,1299.153,1299.213,,,,
gw,1318.397,1318.437,,,,
g,1325.225,1325.295,,,,
g,1327.625,1327.745,,,,
g,1328.305,1328.355,,,,
g,1332.384,1332.434,,,,
g,1332.624,1332.694,,,,
k,1333.154,1333.214,,,,
g,1341.304,1341.414,,,,
g,1341.464,1341.534,,,,
g,1341.604,1341.714,,,,
g,1348.014,1348.044,,,,
g,1348.644,1348.784,,,,
g,1376.18,1376.28,,,,
g,1385.059,1385.119,,,,
k,1389.129,1389.169,,,,
g,1390.289,1390.359,,,,
g,1391.009,1391.149,,,,
g,1396.0,1396.07,,,,
g,1404.621,1404.671,,,,
g,1410.221,1410.261,,,,
g,1425.152,1425.212,,,,
g,1426.849,1426.889,,,,
g,1430.059,1430.149,,,,
g,1430.209,1430.289,,,,
g,1430.379,1430.479,,,,
g,1432.749,1432.779,,,,
g,1436.159,1436.199,,,,
g,1437.919,1438.039,,,,
k,1439.988,1440.028,,,,
g,1440.168,1440.198,,,,
g,1443.518,1443.618,,,,
g,1455.247,1455.287,,,,
g,1457.007,1457.057,,,,
gw,1471.964,1472.024,,,,
g,1472.364,1472.404,,,,
g,1480.261,1480.291,,,,
g,1481.641,1481.751,,,,
g,1483.935,1484.025,,,,
g,1502.47,1502.58,,,,
g,1503.27,1503.33,,,,
g,1504.62,1504.7,,,,
g,1517.625,1517.675,,,,
g,1540.848,1540.938,,,,
g,1541.118,1541.148,,,,
k,1544.168,1544.338,,,,
g,1568.191,1568.301,,,,
g,1568.401,1568.431,,,,
g,1572.843,1572.923,,,,
k,1573.153,1573.263,,,,
k,1573.883,1573.933,,,,
g,1575.75,1575.78,,,,
g,1577.98,1578.01,,,,
g,1578.19,1578.29,,,,
g,1579.27,1579.33,,,,
k,1590.059,1590.149,,,,
k,1590.879,1590.919,,,,
g,1591.999,1592.109,,,,
k,1598.46,1598.52,,,,
g,1599.74,1599.85,,,,
g,1600.4,1600.52,,,,
k,1616.901,1617.031,,,,
g,1636.708,1636.738,,,,
gw,1637.628,1637.728,,,,
k,1641.265,1641.305,,,,
g,1642.435,1642.525,,,,
g,1644.235,1644.315,,,,
g,1645.755,1645.815,,,,
g,1668.484,1668.574,,,,
k,1671.024,1671.144,,,,
g,1676.31,1676.39,,,,
g,1680.5,1680.59,,,,
g,1689.61,1689.66,,,,
g,1691.25,1691.36,,,,
g,1714.526,1714.646,,,,
g,1724.882,1725.072,,,,
k,1727.402,1727.482,,,,
g,1740.432,1740.522,,,,
k,1744.551,1744.641,,,,
g,1752.85,1752.92,,,,
g,1775.323,1775.413,,,,
g,1776.293,1776.393,,,,
gw,1784.058,1784.138,,,,
k,1787.958,1787.988,,,,
g,1788.468,1788.528,,,,
gw,1803.608,1803.748,,,,
,,,49,0,190,17
