phone,minTime,maxTime
k,22.188,22.248
k,29.958,30.108
k,45.754,45.864
k,72.376,72.486
k,77.99,78.05
k,99.336,99.376
k,101.353,101.403
k,190.946,191.096
k,192.726,192.766
k,196.603,196.703
k,198.413,198.463
k,204.368,204.418
k,204.418,204.498
k,207.588,207.658
k,216.604,216.914
k,217.254,217.364
k,217.614,217.674
k,234.24,234.33
k,241.67,241.73
k,242.51,242.57
k,242.77,242.8
k,246.762,246.812
k,246.902,247.042
k,249.942,249.982
k,252.184,252.244
k,253.862,254.102
k,254.522,254.572
k,261.192,261.222
k,262.657,262.787
k,262.817,262.867
k,263.047,263.087
k,279.524,279.584
k,302.103,302.193
k,305.877,306.027
k,306.167,306.437
k,307.63,307.73
k,311.694,311.824
k,311.894,311.984
k,318.01,318.1
k,334.756,334.866
k,343.206,343.256
k,347.696,347.786
k,348.626,348.666
k,350.586,350.666
k,354.932,355.052
k,357.282,357.312
k,364.226,364.286
k,376.066,376.126
k,385.231,385.361
k,392.825,392.885
k,394.445,394.485
k,394.955,394.985
k,396.438,396.528
k,396.958,397.058
k,397.258,397.298
k,399.798,399.978
k,400.168,400.238
k,407.23,407.3
k,407.45,407.52
k,414.954,414.984
k,416.883,416.953
k,419.816,419.876
k,433.96,434.0
k,434.98,435.02
k,438.086,438.256
k,463.169,463.199
k,464.869,464.999
k,505.528,505.608
k,509.748,509.828
k,518.787,518.827
k,540.686,540.746
k,569.085,569.195
k,572.528,572.558
k,593.144,593.204
k,596.444,596.584
k,597.274,597.334
k,601.264,601.314
k,613.974,614.004
k,627.134,627.224
k,631.481,631.511
k,659.123,659.183
k,690.592,690.642
k,690.722,690.782
k,697.534,697.564
k,697.624,697.664
k,725.778,725.848
k,746.466,746.526
k,747.316,747.396
k,754.106,754.156
k,754.286,754.396
k,756.614,756.684
k,766.248,766.438
k,769.202,769.262
k,771.395,771.435
k,771.435,771.475
k,786.091,786.121
k,810.196,810.256
k,813.634,813.694
k,819.976,820.036
k,829.03,829.06
k,844.924,844.974
k,915.49,915.55
k,980.347,980.417
k,991.781,991.831
k,994.081,994.161
k,996.974,997.024
k,1002.978,1003.038
k,1012.184,1012.244
k,1024.295,1024.365
k,1031.83,1031.94
k,1031.94,1031.99
k,1032.05,1032.17
k,1054.48,1054.51
k,1056.146,1056.176
k,1080.026,1080.056
k,1087.372,1087.492
k,1095.579,1095.679
k,1096.539,1096.599
k,1117.742,1117.792
k,1118.502,1118.562
k,1119.628,1119.678
k,1125.194,1125.274
k,1135.66,1135.69
k,1144.5,1144.6
k,1198.798,1198.878
k,1219.591,1219.631
k,1219.851,1219.941
k,1220.241,1220.271
k,1222.081,1222.171
k,1222.899,1222.969
k,1223.319,1223.349
k,1227.84,1227.89
k,1227.89,1227.95
k,1229.068,1229.118
k,1230.068,1230.158
k,1250.69,1250.79
k,1261.658,1261.728
k,1265.328,1265.418
k,1266.088,1266.158
k,1273.424,1273.464
k,1273.464,1273.504
k,1274.034,1274.104
k,1275.464,1275.514
k,1279.526,1279.606
k,1305.312,1305.342
k,1305.342,1305.372
k,1324.496,1324.576
k,1324.786,1324.836
k,1345.596,1345.666
k,1417.804,1417.894
k,1419.475,1419.565
k,1419.625,1419.695
k,1430.818,1430.878
k,1435.5,1435.53
k,1439.106,1439.156
k,1477.878,1477.938
k,1493.592,1493.662
k,1511.268,1511.338
k,1573.195,1573.265
k,1574.822,1574.872
k,1578.206,1578.246
k,1582.07,1582.17
k,1604.678,1604.748
k,1648.348,1648.418
k,1650.734,1650.804
k,1652.358,1652.528
k,1691.998,1692.058
k,1695.494,1695.594
k,1704.504,1704.594
k,1716.994,1717.054
k,1720.636,1720.686
k,1720.686,1720.746
k,1720.966,1721.016
k,1723.236,1723.296
k,1723.296,1723.356
k,1724.918,1724.958
k,1724.958,1724.998
k,1753.37,1753.45
k,1757.414,1757.494
k,1767.514,1767.544
k,1776.11,1776.14
k,1793.984,1794.014
k,1794.074,1794.104
k,1810.107,1810.157
k,1810.257,1810.317
